,CONTRIBUTOR,PERCENT
UNION,28,51.85185185185185
LOCAL,24,44.44444444444444
TEAMSTERS,17,31.48148148148148
CALIFORNIA,11,20.37037037037037
ISSUES,10,18.51851851851852
WORKERS,8,14.814814814814813
COUNCIL,7,12.962962962962962
COMMITTEE,7,12.962962962962962
UNITED,7,12.962962962962962
INTERNATIONAL,6,11.11111111111111
FOOD,6,11.11111111111111
COMMERCIAL,6,11.11111111111111
PAC,5,9.25925925925926
EMPLOYEES,4,7.4074074074074066
STATE,4,7.4074074074074066
POLITICAL,4,7.4074074074074066
PROP,3,5.555555555555555
SERVICE,3,5.555555555555555
LABOR,3,5.555555555555555
CONFERENCE,2,3.7037037037037033
CLC,2,3.7037037037037033
ECONOMIC,2,3.7037037037037033
TRANSIT,2,3.7037037037037033
BY,2,3.7037037037037033
SILICON,2,3.7037037037037033
(NONPROFIT,2,3.7037037037037033
AFL-CIO,2,3.7037037037037033
"FEDERATION,",2,3.7037037037037033
A,2,3.7037037037037033
COALITION,2,3.7037037037037033
NO,2,3.7037037037037033
RISING,2,3.7037037037037033
986,2,3.7037037037037033
VALLEY,2,3.7037037037037033
FAMILIES,2,3.7037037037037033
COUNTY,2,3.7037037037037033
NONPROFITS,2,3.7037037037037033
WORKING,2,3.7037037037037033
"22,",2,3.7037037037037033
SEIU,2,3.7037037037037033
TEACHERS,2,3.7037037037037033
ENGINEERS,2,3.7037037037037033
SOCIAL,2,3.7037037037037033
OPERATING,2,3.7037037037037033
FEDERATION,2,3.7037037037037033
AMALGAMATED,2,3.7037037037037033
SPONSORED,2,3.7037037037037033
JUSTICE,2,3.7037037037037033
TD,1,1.8518518518518516
COPE,1,1.8518518518518516
501C4),1,1.8518518518518516
CARE,1,1.8518518518518516
135,1,1.8518518518518516
BUILDING,1,1.8518518518518516
LABORERS,1,1.8518518518518516
"VOTERS,",1,1.8518518518518516
952,1,1.8518518518518516
770,1,1.8518518518518516
IBEW,1,1.8518518518518516
542,1,1.8518518518518516
324,1,1.8518518518518516
PROP/BALLOT,1,1.8518518518518516
TO,1,1.8518518518518516
VOICE,1,1.8518518518518516
15,1,1.8518518518518516
ASSOCIATION,1,1.8518518518518516
WEST,1,1.8518518518518516
EMPLOYMENT,1,1.8518518518518516
DEDICATED,1,1.8518518518518516
INITIATIVES,1,1.8518518518518516
856,1,1.8518518518518516
MORE,1,1.8518518518518516
LAW,1,1.8518518518518516
SAN,1,1.8518518518518516
OBER,1,1.8518518518518516
EXECUTIVE,1,1.8518518518518516
UNITE,1,1.8518518518518516
CENTRAL,1,1.8518518518518516
NANCY,1,1.8518518518518516
#896,1,1.8518518518518516
1167,1,1.8518518518518516
"ACTION,",1,1.8518518518518516
ACTION,1,1.8518518518518516
PACIFIC,1,1.8518518518518516
IRONWORKERS,1,1.8518518518518516
YES,1,1.8518518518518516
MEMBERS',1,1.8518518518518516
"15,",1,1.8518518518518516
DISTRICT,1,1.8518518518518516
IN,1,1.8518518518518516
1932,1,1.8518518518518516
3,1,1.8518518518518516
MUNICIPAL,1,1.8518518518518516
SUPPORT,1,1.8518518518518516
SMART,1,1.8518518518518516
WESTERN,1,1.8518518518518516
"STATE,",1,1.8518518518518516
"BOARD,",1,1.8518518518518516
63,1,1.8518518518518516
SAILORS,1,1.8518518518518516
(C)(5)),1,1.8518518518518516
RIGHTS,1,1.8518518518518516
AMERICA,1,1.8518518518518516
WORKERS',1,1.8518518518518516
396,1,1.8518518518518516
HEALTH,1,1.8518518518518516
EDUCATION,1,1.8518518518518516
TRANSPORT,1,1.8518518518518516
911,1,1.8518518518518516
166,1,1.8518518518518516
721,1,1.8518518518518516
DEMOCRATIC,1,1.8518518518518516
"CTW,",1,1.8518518518518516
BROTHERHOOD,1,1.8518518518518516
PROJECT,1,1.8518518518518516
STATES,1,1.8518518518518516
INITIATIVE,1,1.8518518518518516
501,1,1.8518518518518516
FOR,1,1.8518518518518516
/,1,1.8518518518518516
PARTY,1,1.8518518518518516
630,1,1.8518518518518516
617,1,1.8518518518518516
MILLION,1,1.8518518518518516
683,1,1.8518518518518516
7,1,1.8518518518518516
MACHINISTS,1,1.8518518518518516
12,1,1.8518518518518516
3299,1,1.8518518518518516
AMERICAN,1,1.8518518518518516
CONSTRUCTION,1,1.8518518518518516
ADVOCACY/BALLOT,1,1.8518518518518516
MATEO,1,1.8518518518518516
HERE!,1,1.8518518518518516
"COMMITTEE,",1,1.8518518518518516
NATIONAL,1,1.8518518518518516
481,1,1.8518518518518516
PARTNERSHIP,1,1.8518518518518516
848,1,1.8518518518518516
TRADES,1,1.8518518518518516
JOINT,1,1.8518518518518516
