TRANSACTION DATE,AMOUNT,DAY,MONTH,YEAR
2019-10-28,80000000.0,28,10,2019
2019-10-29,20000000.0,29,10,2019
2019-10-30,120000000.0,30,10,2019
2019-10-31,57045.24,31,10,2019
2019-11-07,750.0,7,11,2019
2019-11-19,382639.08,19,11,2019
2019-11-30,57684.6,30,11,2019
2019-12-19,450.0,19,12,2019
2019-12-31,135730.64,31,12,2019
2020-01-02,24800.0,2,1,2020
2020-01-14,2538.3,14,1,2020
2020-01-31,160746.72,31,1,2020
2020-02-01,32014.880000000005,1,2,2020
2020-02-25,22140.0,25,2,2020
2020-02-28,90244.98,28,2,2020
2020-02-29,50000.0,29,2,2020
2020-03-01,102127.84,1,3,2020
2020-03-17,43920.0,17,3,2020
2020-04-01,105307.32,1,4,2020
2020-05-01,67751.08,1,5,2020
2020-06-01,74866.96,1,6,2020
2020-06-17,666.67,17,6,2020
2020-07-01,68071.62,1,7,2020
2020-08-01,227820.43,1,8,2020
2020-08-11,10158.66,11,8,2020
2020-08-13,157708.33000000002,13,8,2020
2020-08-19,116900.48000000001,19,8,2020
2020-08-26,7474.77,26,8,2020
2020-08-31,5571.38,31,8,2020
2020-09-01,218754.54,1,9,2020
2020-09-04,70000000.0,4,9,2020
2020-09-10,849750.39,10,9,2020
2020-09-12,560523.87,12,9,2020
2020-09-14,2547.14,14,9,2020
2020-09-15,6811.2,15,9,2020
2020-09-16,62456.54,16,9,2020
2020-09-17,1314000.0,17,9,2020
2020-09-18,2924.91,18,9,2020
2020-09-22,14780.77,22,9,2020
2020-09-25,756000.0,25,9,2020
